0.000,0.478,0.434
0.333,0.477,0.432
0.666,0.478,0.430
1.000,0.478,0.431
1.333,0.478,0.434
1.666,0.477,0.430
1.999,0.477,0.434
2.333,0.477,0.430
2.666,0.477,0.430
2.999,0.478,0.434
3.332,0.477,0.430
3.665,0.478,0.435
3.999,0.478,0.445
4.332,0.474,0.482
4.665,0.469,0.519
4.998,0.465,0.559
5.332,0.457,0.599
5.665,0.453,0.634
5.998,0.451,0.671
6.331,0.451,0.706
6.664,0.453,0.743
6.998,0.458,0.779
7.331,0.460,0.817
7.664,0.462,0.856
7.997,0.462,0.894
8.331,0.460,0.931
8.664,0.455,0.967
8.997,0.454,1.005
9.330,0.455,1.042
9.663,0.458,1.080
9.997,0.465,1.117
10.330,0.472,1.152
10.663,0.482,1.187
10.996,0.495,1.221
11.330,0.510,1.254
11.663,0.526,1.286
11.996,0.544,1.316
12.329,0.564,1.345
12.662,0.589,1.375
12.996,0.613,1.401
13.329,0.639,1.426
13.662,0.669,1.449
13.995,0.698,1.471
14.329,0.730,1.490
14.662,0.763,1.507
14.995,0.796,1.522
15.328,0.829,1.533
15.661,0.864,1.545
15.995,0.900,1.553
16.328,0.938,1.559
16.661,0.975,1.562
16.994,1.010,1.563
17.328,1.045,1.562
17.661,1.082,1.557
17.994,1.117,1.551
18.327,1.155,1.541
18.660,1.188,1.531
18.994,1.224,1.517
19.327,1.255,1.501
19.660,1.287,1.482
19.993,1.318,1.461
20.327,1.346,1.441
20.660,1.372,1.418
20.993,1.373,1.417
21.326,1.373,1.417
21.659,1.373,1.417
21.993,1.373,1.418
22.326,1.374,1.417
22.659,1.374,1.417
22.992,1.374,1.417
23.326,1.374,1.417
23.659,1.373,1.417
23.992,1.373,1.418
24.325,1.374,1.417
24.658,1.375,1.417

